Product_Name,Product_Price,Warranty_Period(Months),Processor_Type,Screen_Size(inch),Operating_System,Color,Storage_Capacity,RAMGB,Touch_Display,Battery_Type,Storage_Type,Storage_Capacity_GB,Pixels_Width,Pixels_Height,Processor_Type_encoded,Operating_System_encoded,Color_encoded,Battery_Type_encoded,Storage_Type_encoded,kmeans
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sequoia,Space Grey,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,11,64,51,13,3
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Starlight,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,12,66,51,13,3
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Sequoia,Midnight,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,86,11,37,51,13,3
Apple MacBook Air 13 M2 Retina,5699,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Starlight,512 GB SSD,8,False,Lithium Ion Polymer (Li-Poly),SSD,512.0,2560,1664,86,10,66,48,13,3
Microsoft Surface  7,6299,24.0,Snapdragon X Elite 12 Core,13.8,Windows 11 Home,Sapphire,512 GB SSD,16,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,512.0,2304,1536,99,6,55,44,13,3
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Sequoia,Starlight,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,86,11,66,51,13,3
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sonoma,Space Grey,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,64,51,13,3
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sequoia,Silver,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,11,58,51,13,3
Apple MacBook Pro 13 M2 Retina + Touch Bar,5249,24.0,M2 8-core CPU 16-core Neural Engine,13.3,macOS Monterey,Space Grey,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1600,86,10,64,51,13,3
Renewed Grade A Apple MacBook Pro 16 M3 Pro Retina XDR,9899,6.0,M3 Pro 12-core CPU,16.0,macOS Sonoma,Space Black,512 GB SSD,18,False,Lithium Polymer (Li-Po),SSD,512.0,3024,1964,91,12,62,51,13,3
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sequoia,Midnight,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,89,11,37,51,13,3
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sequoia,Starlight,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,11,66,51,13,3
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Midnight,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,89,12,37,51,13,3
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sonoma,Midnight,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,37,51,13,3
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sequoia,Starlight,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,89,11,66,51,13,3
Apple MacBook Air 13 M3,6199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Midnight,512 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,37,51,13,3
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sonoma,Space Grey,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,89,12,64,51,13,3
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Sequoia,Silver,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,86,11,58,51,13,3
Microsoft Surface  7,6299,24.0,Snapdragon X Elite 12 Core,13.8,Windows 11 Home,Not Applicable,512 GB SSD,16,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,512.0,2304,1536,99,6,44,44,13,3
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sequoia,Starlight,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,11,66,51,13,3
Apple MacBook Pro 16 M4 Pro Retina XDR,11499,24.0,M4 Pro 14-core CPU,16.0,macOS Sequoia,Space Black,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,3456,2234,94,11,62,51,13,3
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sequoia,Space Grey,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,11,64,51,13,3
Apple MacBook Air 13 M3,6199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Starlight,512 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,66,51,13,3
Renewed Grade A Apple MacBook Air 13 M3,4499,6.0,M3 8-core CPU,13.6,macOS Sonoma,Starlight,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,66,51,13,3
Microsoft Surface  7,4699,24.0,Snapdragon X Plus 10 Core,13.8,Windows 11 Home,Platinum,256 GB SSD,16,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,256.0,2304,1536,101,6,49,44,13,3
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sequoia,Silver,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,89,11,58,51,13,3
Apple MacBook Air 15 M2,6799,24.0,M2 8-core CPU 16-core Neural Engine,15.3,macOS Ventura,Starlight,512 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,86,13,66,51,13,3
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Midnight,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,12,37,51,13,3
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Space Grey,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,12,64,51,13,3
Apple MacBook Pro 14 M3 Pro Retina XDR,9499,24.0,M3 Pro 11-core CPU,14.2,macOS Sonoma,Space Black,512 GB SSD,18,False,Lithium Polymer (Li-Po),SSD,512.0,3024,1964,90,12,62,51,13,3
Apple MacBook Pro 14 M2 Pro Retina XDR,8399,24.0,M2 Pro 10-core CPU 16-core Neural Engine,14.2,macOS Ventura,Space Grey,512 GB SSD,16,False,Lithium Ion Polymer (Li-Poly),SSD,512.0,3024,1964,87,13,64,48,13,3
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Sequoia,Space Grey,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,86,11,64,51,13,3
Apple MacBook Air 15 M2,5199,24.0,M2 8-core CPU 16-core Neural Engine,15.3,macOS Ventura,Space Grey,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,86,13,64,51,13,3
Microsoft Surface  7,6799,24.0,Snapdragon X Elite 12 Core,15.0,Windows 11 Home,Black,512 GB SSD,16,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,512.0,2496,1664,99,6,5,44,13,3
Apple MacBook Air 15 M3,6999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Starlight,512 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,89,12,66,51,13,3
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sequoia,Midnight,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,11,37,51,13,3
Apple MacBook Pro 16 M4 Pro Retina XDR,11499,24.0,M4 Pro 14-core CPU,16.0,macOS Sequoia,Silver,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,3456,2234,94,11,58,51,13,3
Apple MacBook Pro 14 M4 Pro Retina XDR,9499,24.0,M4 Pro 12-core CPU,14.2,macOS Sequoia,Silver,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,3024,1964,93,11,58,51,13,3
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Space Grey,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,89,12,64,51,13,3
Apple MacBook Pro 14 M4 Retina XDR,7499,24.0,M4 10-core CPU,14.2,macOS Sequoia,Silver,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,3024,1964,92,11,58,51,13,3
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sequoia,Silver,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,89,11,58,51,13,3
Apple MacBook Pro 14 M4 Pro Retina XDR,9499,24.0,M4 Pro 12-core CPU,14.2,macOS Sequoia,Space Black,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,3024,1964,93,11,62,51,13,3
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sequoia,Midnight,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,89,11,37,51,13,3
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sonoma,Starlight,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,66,51,13,3
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sequoia,Space Grey,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,89,11,64,51,13,3
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Silver,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,89,12,58,51,13,3
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sequoia,Midnight,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,11,37,51,13,3
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sonoma,Midnight,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,89,12,37,51,13,3
Apple MacBook Air 15 M2,5799,24.0,M2 8-core CPU 16-core Neural Engine,15.3,macOS Ventura,Starlight,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,86,13,66,51,13,3
