Product_Name,Product_Price,Warranty_Period(Months),Processor_Type,Screen_Size(inch),Operating_System,Color,Storage_Capacity,RAMGB,Touch_Display,Battery_Type,Storage_Type,Storage_Capacity_GB,Pixels_Width,Pixels_Height,Processor_Type_encoded,Operating_System_encoded,Color_encoded,Battery_Type_encoded,Storage_Type_encoded,kmeans
Microsoft Surface  7,9699,24.0,Snapdragon X Elite 12 Core,15.0,Windows 11 Home,Black,1 TB SSD,32,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,1024.0,2496,1664,99,6,5,44,13,1
HP Pavilion,4499,24.0,Intel Core Ultra 7 155U,16.0,Windows 11 Home,Sky Blue,1 TB PCIe Gen4,16,False,Lithium Ion (Li-Ion),PCIe Gen4,1024.0,1920,1200,31,6,59,41,10,1
Apple MacBook Pro 14 M4 Pro Retina XDR,11399,24.0,M4 Pro 14-core CPU,14.2,macOS Sequoia,Silver,1 TB SSD,24,False,Lithium Polymer (Li-Po),SSD,1024.0,3024,1964,94,11,58,51,13,1
Lenovo Yoga Pro 9,9029,24.0,Intel Core Ultra 9 185H,16.0,Windows 11,Luna Grey,1 TB SSD,32,False,Lithium Polymer (Li-Po),SSD,1024.0,3200,2000,35,4,33,51,13,1
HP Pavilion Plus,3999,24.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11,Natural Silver,1 TB PCIe NVMe M.2 SSD,16,False,Lithium Ion Polymer (Li-Poly) - 3 Cell,PCIe NVMe M.2 SSD,1024.0,2880,1800,70,4,43,49,11,1
Apple MacBook Pro 14 M4 Retina XDR,9399,24.0,M4 10-core CPU,14.2,macOS Sequoia,Space Black,1 TB SSD,24,False,Lithium Polymer (Li-Po),SSD,1024.0,3024,1964,92,11,62,51,13,1
Acer Swift SF14-11-X41L,5029,24.0,Snapdragon X Plus 10 Core,14.5,Windows 11,Silver,1 TB SSD,16,False,Lithium Ion (Li-Ion),SSD,1024.0,2560,1600,101,4,58,41,13,1
Acer Swift SF314-43-R9GG,2429,24.0,AMD Ryzen 7-5700U,14.0,Windows 11,Silver,1 TB SSD,16,False,Lithium Ion (Li-Ion),SSD,1024.0,1920,1080,7,4,58,41,13,1
Lenovo Yoga Slim 7,6229,24.0,Snapdragon X Elite,14.5,Windows 11 Home,Cosmic Blue,1 TB SSD,32,True,Lithium Polymer (Li-Po) - 4 Cell,SSD,1024.0,2944,1840,98,6,9,53,13,1
HP Pavilion,4499,24.0,Intel Core Ultra 7 155U,16.0,Windows 11 Home,Natural Silver,1 TB PCIe Gen4,16,False,Lithium Ion (Li-Ion),PCIe Gen4,1024.0,1920,1200,31,6,43,41,10,1
Huawei MateBook X Pro,6999,24.0,Intel Core Ultra 7 155H,14.2,Windows 11 Home,White,1 TB PCIe NVMe M.2 SSD,16,True,Lithium Polymer (Li-Po),PCIe NVMe M.2 SSD,1024.0,3120,2080,29,6,76,51,11,1
Lenovo IdeaPad Slim 3,2829,24.0,Intel Core i7-13620H (13th Gen),15.6,Windows 11 Home,Arctic Grey,1 TB PCIe NVMe M.2 SSD,16,False,Lithium Polymer (Li-Po),PCIe NVMe M.2 SSD,1024.0,1920,1080,72,6,2,51,11,1
Huawei MateBook 14,4999,24.0,Intel Core i7-1360P (13th Gen),14.0,Windows 11,Space Grey,1 TB SSD,16,True,Lithium Polymer (Li-Po),SSD,1024.0,2160,1440,71,4,64,51,13,1
Renewed Grade A Huawei MateBook X Pro,6899,6.0,Intel Core Ultra 9 185H,14.2,Windows 11 Home,Morandi Blue,2 TB PCIe NVMe M.2 SSD,32,True,Lithium Polymer (Li-Po),PCIe NVMe M.2 SSD,2048.0,3120,2080,35,6,41,51,11,1
Huawei MateBook D 16 2024,4999,24.0,Intel Core i9-13900H (13th Gen),16.0,Windows 11 Home,Mystic Silver,1 TB SSD,16,False,Lithium Polymer (Li-Po),SSD,1024.0,1920,1200,81,6,42,51,13,1
Lenovo Yoga Pro 7,6629,24.0,AMD Ryzen 9,14.5,Windows 11 Home,Luna Grey,1 TB SSD,32,False,Lithium Polymer (Li-Po),SSD,1024.0,2880,1800,16,6,33,51,13,1
Acer Swift Go 14,4029,24.0,Intel Core Ultra 7 155H (Evo),14.0,Windows 11,Silver,1 TB SSD,32,False,Lithium Ion (Li-Ion),SSD,1024.0,2880,1800,30,4,58,41,13,1
Apple MacBook Pro 14 M4 Retina XDR,8499,24.0,M4 10-core CPU,14.2,macOS Sequoia,Space Black,1 TB SSD,16,False,Lithium Polymer (Li-Po),SSD,1024.0,3024,1964,92,11,62,51,13,1
Apple MacBook Pro 14 M3 Retina XDR,7899,24.0,M3 8-core CPU,14.2,macOS Sonoma,Space Grey,1 TB SSD,8,False,Lithium Polymer (Li-Po),SSD,1024.0,3024,1964,89,12,64,51,13,1
HP EliteBook 840 G11,6519,24.0,Intel Core Ultra 7 155U,14.0,Windows 11 Pro,Silver,1 TB NVMe PCIe Gen 4×4 SSD,32,False,Lithium Ion Polymer (Li-Poly) - 3 Cell,NVMe PCIe Gen 4×4 SSD,1024.0,1920,1200,31,7,58,49,7,1
Huawei MateBook D 16 2024,3499,24.0,Intel Core i5-13420H (13th Gen),16.0,Windows 11,Mystic Silver,1 TB SSD,16,False,Lithium Polymer (Li-Po),SSD,1024.0,1920,1200,56,4,42,51,13,1
Lenovo Yoga Slim 6 OLED,3399,24.0,Intel Core i7-1260P (Evo 12th Gen),14.0,Windows 11,Storm Grey,1 TB PCIe NVMe M.2 SSD,16,False,Lithium Polymer (Li-Po),PCIe NVMe M.2 SSD,1024.0,1920,1200,66,4,70,51,11,1
HP Pavilion,4299,24.0,Intel Core i7-1360P (13th Gen),15.6,Windows 11,Fog Blue,1 TB PCIe NVMe M.2 SSD,16,False,Lithium Ion (Li-Ion) - 3 Cell,PCIe NVMe M.2 SSD,1024.0,1920,1080,71,4,19,42,11,1
