Product_Name,Product_Price,Warranty_Period(Months),Processor_Type,Screen_Size(inch),Operating_System,Color,Storage_Capacity,RAMGB,Touch_Display,Battery_Type,Storage_Type,Storage_Capacity_GB,Pixels_Width,Pixels_Height,Processor_Type_encoded,Operating_System_encoded,Color_encoded,Battery_Type_encoded,Storage_Type_encoded,kmeans
Huawei MateBook 14,4299,24.0,Intel Core Ultra 5 125H,14.2,Windows 11 Home,Space Grey,1 TB M.2 NVMe PCIe 4.0 SSD,16,True,Lithium Polymer (Li-Po),M.2 NVMe PCIe 4.0 SSD,1024.0,2880,1920,25,6,64,51,4,2
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sequoia,Space Grey,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,11,64,51,13,3
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Starlight,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,12,66,51,13,3
Asus,3799,24.0,AMD Ryzen 7-8840HS,14.0,Windows 11,Jade Black,1 TB M.2 NVMe PCIe 4.0 SSD,16,False,Lithium Ion (Li-Ion) - 4 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,1920,1200,15,4,31,43,4,2
Microsoft Surface  7,9699,24.0,Snapdragon X Elite 12 Core,15.0,Windows 11 Home,Black,1 TB SSD,32,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,1024.0,2496,1664,99,6,5,44,13,1
Asus Zenbook 14 OLED,4799,24.0,Intel Core Ultra 9 185H,14.0,Windows 11 Home,Ponder Blue,1 TB M.2 NVMe PCIe 4.0 SSD,16,False,Lithium Ion (Li-Ion) - 4 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,2880,1800,35,6,52,43,4,2
Asus Zenbook 14 OLED,3599,24.0,AMD Ryzen 7-7730U,14.0,Windows 11,Jade Black,1 TB M.2 NVMe PCIe 3.0 SSD,16,False,Lithium Ion (Li-Ion) - 4 Cell,M.2 NVMe PCIe 3.0 SSD,1024.0,2880,1800,12,4,31,43,3,2
Apple MacBook Air 13 M1 Retina,2999,24.0,M1 8-core CPU 16-core Neural Engine,13.3,macOS Big Sur,Space Grey,256 GB SSD,8,False,Lithium Ion Polymer (Li-Poly),SSD,256.0,2560,1600,85,9,64,48,13,0
HP Pavilion,4499,24.0,Intel Core Ultra 7 155U,16.0,Windows 11 Home,Sky Blue,1 TB PCIe Gen4,16,False,Lithium Ion (Li-Ion),PCIe Gen4,1024.0,1920,1200,31,6,59,41,10,1
MSI Modern 14,2799,24.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11,Urban Silver,512 GB NVMe M.2 SSD,16,False,Lithium Ion (Li-Ion) - 3 Cell,NVMe M.2 SSD,512.0,1920,1080,70,4,75,42,6,2
HP Pavilion Plus 14-ew1009nx,3799,24.0,Intel Core Ultra 5 125H,14.0,Windows 11 Home,Natural Silver,512 GB PCIe Gen 4 NVMe M.2 SSD,16,False,Lithium Ion Polymer (Li-Poly) - 4 Cell,PCIe Gen 4 NVMe M.2 SSD,512.0,2880,1800,25,6,43,50,9,2
HP EliteBook 840 G10,4019,60.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11 Pro,Ash Silver,512 GB PCIe NVMe M.2 SSD,16,False,Lithium Polymer (Li-Po) - 3 Cell,PCIe NVMe M.2 SSD,512.0,1920,1080,70,7,3,52,11,0
Huawei MateBook 14,3649,24.0,Intel Core i5-1240P (12th Gen),14.0,Windows 11,Space Grey,512 GB,16,True,Lithium Ion Polymer (Li-Poly),,512.0,2160,1440,48,4,64,48,0,2
Apple MacBook Pro 14 M4 Pro Retina XDR,11399,24.0,M4 Pro 14-core CPU,14.2,macOS Sequoia,Silver,1 TB SSD,24,False,Lithium Polymer (Li-Po),SSD,1024.0,3024,1964,94,11,58,51,13,1
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Sequoia,Midnight,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,86,11,37,51,13,3
Huawei MateBook 14,4999,24.0,Intel Core Ultra 7 155H,14.2,Windows 11 Home,Space Grey,1 TB M.2 NVMe PCIe 4.0 SSD,16,True,Lithium Polymer (Li-Po),M.2 NVMe PCIe 4.0 SSD,1024.0,2880,1920,29,6,64,51,4,2
Apple MacBook Air 13 M1 Retina,2999,24.0,M1 8-core CPU 16-core Neural Engine,13.3,macOS Big Sur,Silver,256 GB SSD,8,False,Lithium Ion Polymer (Li-Poly),SSD,256.0,2560,1600,85,9,58,48,13,0
Apple MacBook Air 13 M2 Retina,5699,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Starlight,512 GB SSD,8,False,Lithium Ion Polymer (Li-Poly),SSD,512.0,2560,1664,86,10,66,48,13,3
Microsoft Surface  7,6299,24.0,Snapdragon X Elite 12 Core,13.8,Windows 11 Home,Sapphire,512 GB SSD,16,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,512.0,2304,1536,99,6,55,44,13,3
MSI Prestige 13 AI Evo A1MG,4329,24.0,Intel Core Ultra 7 155H,13.3,Windows 11 Home,Stellar Grey,1 TB M.2 NVMe PCIe 4.0 SSD,32,False,Lithium Polymer (Li-Po) - 4 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,2880,1800,29,6,69,53,4,2
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Sequoia,Starlight,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,86,11,66,51,13,3
HP OmniBook X,5499,24.0,Snapdragon X Elite,14.0,Windows 11 (with Windows 11 Copilot),Meteor Silver,1 TB M.2 NVMe PCIe 4.0 SSD,16,True,Lithium Ion Polymer (Li-Poly) - 3 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,2240,1400,98,5,35,49,4,2
Asus Vivobook S 15 OLED,4999,24.0,Snapdragon X Elite,15.6,Windows 11 Home,Cool Silver,1 TB M.2 NVMe PCIe 4.0 SSD,32,False,Lithium Ion (Li-Ion) - 3 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,2880,1620,98,6,8,42,4,2
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Midnight,256 GB SSD,8,False,Lithium Ion Polymer (Li-Poly),SSD,256.0,2560,1664,86,10,37,48,13,0
Lenovo Yoga Pro 9,9029,24.0,Intel Core Ultra 9 185H,16.0,Windows 11,Luna Grey,1 TB SSD,32,False,Lithium Polymer (Li-Po),SSD,1024.0,3200,2000,35,4,33,51,13,1
HP Pavilion Plus,3999,24.0,Intel Core i7-1355U (13th Gen),14.0,Windows 11,Natural Silver,1 TB PCIe NVMe M.2 SSD,16,False,Lithium Ion Polymer (Li-Poly) - 3 Cell,PCIe NVMe M.2 SSD,1024.0,2880,1800,70,4,43,49,11,1
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sonoma,Space Grey,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,64,51,13,3
Renewed Grade A Apple MacBook Air 13 M1 Retina,3899,6.0,M1 8-core CPU 16-core Neural Engine,13.3,macOS Big Sur,Space Grey,512 GB,8,False,Lithium Ion Polymer (Li-Poly),,512.0,2560,1600,85,9,64,48,0,2
Apple MacBook Pro 14 M4 Retina XDR,9399,24.0,M4 10-core CPU,14.2,macOS Sequoia,Space Black,1 TB SSD,24,False,Lithium Polymer (Li-Po),SSD,1024.0,3024,1964,92,11,62,51,13,1
Acer Aspire 5,1999,24.0,Intel Core i5-1235U (12th Gen),14.0,Windows 11,Steel Grey,512 GB PCIe NVMe M.2 SSD,8,False,Lithium Ion (Li-Ion) - 4 Cell,PCIe NVMe M.2 SSD,512.0,1920,1080,47,4,68,43,11,0
Microsoft Surface  Go 3,2999,24.0,Intel Core i5-1235U (12th Gen),12.4,Windows 11 Home,Platinum,256 GB SSD,8,True,Lithium Ion (Li-Ion),SSD,256.0,1536,1024,47,6,49,41,13,0
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sequoia,Silver,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,11,58,51,13,3
Apple MacBook Pro 13 M2 Retina + Touch Bar,5249,24.0,M2 8-core CPU 16-core Neural Engine,13.3,macOS Monterey,Space Grey,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1600,86,10,64,51,13,3
Renewed Grade A Apple MacBook Pro 16 M3 Pro Retina XDR,9899,6.0,M3 Pro 12-core CPU,16.0,macOS Sonoma,Space Black,512 GB SSD,18,False,Lithium Polymer (Li-Po),SSD,512.0,3024,1964,91,12,62,51,13,3
HP Pavilion Plus,2899,24.0,Intel Core i5-1340P (Evo 13th Gen),14.0,Windows 11,Natural Silver,512 GB PCIe NVMe M.2 SSD,16,False,Lithium Ion Polymer (Li-Poly) - 3 Cell,PCIe NVMe M.2 SSD,512.0,2240,1400,55,4,43,49,11,0
Acer Swift SF14-11-X41L,5029,24.0,Snapdragon X Plus 10 Core,14.5,Windows 11,Silver,1 TB SSD,16,False,Lithium Ion (Li-Ion),SSD,1024.0,2560,1600,101,4,58,41,13,1
HP Notebook,2099,24.0,AMD Ryzen 5-7520U,15.6,Windows 11 Home,Natural Silver,512 GB SSD,8,False,Lithium Ion Polymer (Li-Poly) - 3 Cell,SSD,512.0,1920,1080,5,6,43,49,13,0
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sequoia,Midnight,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,89,11,37,51,13,3
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sequoia,Starlight,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,11,66,51,13,3
Apple MacBook Air 13 M3,5199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Midnight,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,89,12,37,51,13,3
Acer Swift SF314-43-R9GG,2429,24.0,AMD Ryzen 7-5700U,14.0,Windows 11,Silver,1 TB SSD,16,False,Lithium Ion (Li-Ion),SSD,1024.0,1920,1080,7,4,58,41,13,1
Huawei MateBook D 14 2023,4499,24.0,Intel Core i7-1360P (13th Gen),14.0,Windows 11,Mystic Silver,1 TB M.2 NVMe PCIe 3.0 SSD,16,False,Lithium Polymer (Li-Po) - 4 Cell,M.2 NVMe PCIe 3.0 SSD,1024.0,1920,1200,71,4,42,53,3,2
Huawei MateBook D 16 2024,3199,24.0,Intel Core i5-12450H (12th Gen),16.0,Windows 11 Home,Mystic Silver,512 GB PCIe NVMe M.2 SSD,16,False,Lithium Polymer (Li-Po),PCIe NVMe M.2 SSD,512.0,1920,1200,49,6,42,51,11,0
Huawei MateBook D 14 2023,2499,24.0,Intel Core i5-12450H (12th Gen),14.0,Windows 11,Mystic Silver,512 GB PCIe NVMe M.2 SSD,8,False,Lithium Polymer (Li-Po) - 4 Cell,PCIe NVMe M.2 SSD,512.0,1920,1080,49,4,42,53,11,0
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sonoma,Midnight,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,37,51,13,3
HP Notebook 15s,2319,24.0,Intel Core i5-1334U (13th Gen),15.6,Windows 11,Moonlight Blue,512 GB PCIe NVMe M.2 SSD,8,False,Lithium Ion Polymer (Li-Poly) - 3 Cell,PCIe NVMe M.2 SSD,512.0,1920,1080,52,4,40,49,11,0
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sequoia,Starlight,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,89,11,66,51,13,3
Lenovo Yoga Slim 7,6229,24.0,Snapdragon X Elite,14.5,Windows 11 Home,Cosmic Blue,1 TB SSD,32,True,Lithium Polymer (Li-Po) - 4 Cell,SSD,1024.0,2944,1840,98,6,9,53,13,1
HP Pavilion,4499,24.0,Intel Core Ultra 7 155U,16.0,Windows 11 Home,Natural Silver,1 TB PCIe Gen4,16,False,Lithium Ion (Li-Ion),PCIe Gen4,1024.0,1920,1200,31,6,43,41,10,1
Apple MacBook Air 13 M3,6199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Midnight,512 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,37,51,13,3
Asus Vivobook 15X OLED,3299,24.0,Intel Core i7-1360P (13th Gen),15.6,Windows 11,Cool Silver,1 TB M.2 NVMe PCIe 4.0 SSD,16,False,Lithium Ion (Li-Ion) - 3 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,1920,1080,71,4,8,42,4,2
Acer Swift Go 14,3229,24.0,Intel Core Ultra 5 125H (Evo),14.0,Windows 11,Silver,512 GB SSD,16,False,Lithium Ion (Li-Ion),SSD,512.0,2880,1800,26,4,58,41,13,0
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sonoma,Space Grey,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,89,12,64,51,13,3
Acer Aspire 3 A315-59-566E,1929,24.0,Intel Core i5-1235U (12th Gen),15.6,Windows 11,Silver,512 GB SSD,8,False,Lithium Ion (Li-Ion),SSD,512.0,1920,1080,47,4,58,41,13,0
Huawei MateBook X Pro,6999,24.0,Intel Core Ultra 7 155H,14.2,Windows 11 Home,White,1 TB PCIe NVMe M.2 SSD,16,True,Lithium Polymer (Li-Po),PCIe NVMe M.2 SSD,1024.0,3120,2080,29,6,76,51,11,1
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Sequoia,Silver,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,86,11,58,51,13,3
HP,1819,24.0,Intel Core i3-1315U (13th Gen),15.6,Windows 11,Natural Silver,256 GB PCIe NVMe M.2 SSD,8,False,Lithium Ion Polymer (Li-Poly) - 3 Cell,PCIe NVMe M.2 SSD,256.0,1920,1080,39,4,43,49,11,0
Apple MacBook Air 13 M1 Retina,2999,24.0,M1 8-core CPU 16-core Neural Engine,13.3,macOS Big Sur,Gold,256 GB SSD,8,False,Lithium Ion Polymer (Li-Poly),SSD,256.0,2560,1600,85,9,20,48,13,0
Acer Aspire 5,2729,24.0,Intel Core i7-13620H (13th Gen),15.6,Windows 11,Grey,512 GB SSD,16,False,Lithium Ion (Li-Ion),SSD,512.0,1920,1080,72,4,26,41,13,0
Lenovo IdeaPad Slim 3,2829,24.0,Intel Core i7-13620H (13th Gen),15.6,Windows 11 Home,Arctic Grey,1 TB PCIe NVMe M.2 SSD,16,False,Lithium Polymer (Li-Po),PCIe NVMe M.2 SSD,1024.0,1920,1080,72,6,2,51,11,1
Lenovo IdeaPad 3,2199,24.0,Intel Core i5-1235U (12th Gen),15.6,Windows 11,Arctic Grey,512 GB NVMe M.2 SSD,8,False,Lithium Polymer (Li-Po),NVMe M.2 SSD,512.0,1920,1080,47,4,2,51,6,2
Microsoft Surface  7,6299,24.0,Snapdragon X Elite 12 Core,13.8,Windows 11 Home,Not Applicable,512 GB SSD,16,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,512.0,2304,1536,99,6,44,44,13,3
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sequoia,Starlight,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,11,66,51,13,3
Huawei MateBook 14,4999,24.0,Intel Core i7-1360P (13th Gen),14.0,Windows 11,Space Grey,1 TB SSD,16,True,Lithium Polymer (Li-Po),SSD,1024.0,2160,1440,71,4,64,51,13,1
Renewed Grade A Huawei MateBook X Pro,6899,6.0,Intel Core Ultra 9 185H,14.2,Windows 11 Home,Morandi Blue,2 TB PCIe NVMe M.2 SSD,32,True,Lithium Polymer (Li-Po),PCIe NVMe M.2 SSD,2048.0,3120,2080,35,6,41,51,11,1
Apple MacBook Pro 16 M4 Pro Retina XDR,11499,24.0,M4 Pro 14-core CPU,16.0,macOS Sequoia,Space Black,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,3456,2234,94,11,62,51,13,3
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sequoia,Space Grey,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,11,64,51,13,3
Apple MacBook Air 13 M3,6199,24.0,M3 8-core CPU,13.6,macOS Sonoma,Starlight,512 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,66,51,13,3
Renewed Grade A Apple MacBook Air 13 M3,4499,6.0,M3 8-core CPU,13.6,macOS Sonoma,Starlight,512 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,12,66,51,13,3
Huawei MateBook D 16 2024,4999,24.0,Intel Core i9-13900H (13th Gen),16.0,Windows 11 Home,Mystic Silver,1 TB SSD,16,False,Lithium Polymer (Li-Po),SSD,1024.0,1920,1200,81,6,42,51,13,1
Lenovo IdeaPad Slim 3,1629,24.0,Intel Core i3-N305 (13th Gen),14.0,Windows 11 Home,Arctic Grey,256 GB NVMe M.2 SSD,8,False,Lithium Ion (Li-Ion),NVMe M.2 SSD,256.0,1920,1080,42,6,2,41,6,2
Renewed Grade B Apple MacBook Air 13 M2 Retina,3799,3.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Starlight,512 GB,8,False,Lithium Ion Polymer (Li-Poly),,512.0,2560,1664,86,10,66,48,0,2
Lenovo Yoga Pro 7,6629,24.0,AMD Ryzen 9,14.5,Windows 11 Home,Luna Grey,1 TB SSD,32,False,Lithium Polymer (Li-Po),SSD,1024.0,2880,1800,16,6,33,51,13,1
Microsoft Surface  7,4699,24.0,Snapdragon X Plus 10 Core,13.8,Windows 11 Home,Platinum,256 GB SSD,16,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,256.0,2304,1536,101,6,49,44,13,3
Lenovo IdeaPad 3,2999,24.0,Intel Core i7-1255U (12th Gen),15.6,Windows 11,Arctic Grey,512 GB NVMe M.2 SSD,16,False,Lithium Polymer (Li-Po),NVMe M.2 SSD,512.0,1920,1080,64,4,2,51,6,2
Asus Vivobook 14X OLED,4699,24.0,Intel Core i9-13900H (13th Gen),14.0,Windows 11,Cool Silver,1 TB M.2 NVMe PCIe 3.0 SSD,16,False,Lithium Ion (Li-Ion) - 3 Cell,M.2 NVMe PCIe 3.0 SSD,1024.0,2880,1800,81,4,8,42,3,2
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Monterey,Space Grey,256 GB SSD,8,False,Lithium Ion Polymer (Li-Poly),SSD,256.0,2560,1664,86,10,64,48,13,0
Asus Zenbook 14X OLED,4499,24.0,Intel Core i9-13900H (Evo 13th Gen),14.5,Windows 11,Inkwell Grey,1 TB M.2 NVMe PCIe 4.0 SSD,16,False,Lithium Ion (Li-Ion) - 3 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,2880,1800,82,4,30,42,4,2
Apple MacBook Air 15 M3,7899,24.0,M3 8-core CPU,15.3,macOS Sequoia,Silver,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,89,11,58,51,13,3
Asus ExpertBook B9,3499,36.0,Intel Core i7-1165G7 (Evo 11th Gen),14.0,Windows 10 Pro,Star Black,1 TB M.2 NVMe PCIe 3.0 SSD,16,False,Lithium Ion (Li-Ion) - 4 Cell,M.2 NVMe PCIe 3.0 SSD,1024.0,1920,1080,61,2,65,43,3,2
Apple MacBook Air 15 M2,6799,24.0,M2 8-core CPU 16-core Neural Engine,15.3,macOS Ventura,Starlight,512 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,86,13,66,51,13,3
Asus Vivobook Pro 15 OLED,2649,24.0,AMD Ryzen 5-5600H,15.6,Windows 11,Cool Silver,512 GB PCIe NVMe M.2 SSD,8,False,Lithium Ion (Li-Ion) - 3 Cell,PCIe NVMe M.2 SSD,512.0,1920,1080,3,4,8,42,11,0
Acer Swift Go 14,4029,24.0,Intel Core Ultra 7 155H (Evo),14.0,Windows 11,Silver,1 TB SSD,32,False,Lithium Ion (Li-Ion),SSD,1024.0,2880,1800,30,4,58,41,13,1
Apple MacBook Pro 14 M4 Retina XDR,8499,24.0,M4 10-core CPU,14.2,macOS Sequoia,Space Black,1 TB SSD,16,False,Lithium Polymer (Li-Po),SSD,1024.0,3024,1964,92,11,62,51,13,1
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Midnight,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,12,37,51,13,3
MSI Modern 14,2229,24.0,Intel Core i7-1255U (12th Gen),14.0,Windows 11,Black,512 GB SSD,16,False,Lithium Ion (Li-Ion) - 3 Cell,SSD,512.0,1920,1080,64,4,5,42,13,0
Apple MacBook Pro 14 M3 Retina XDR,7899,24.0,M3 8-core CPU,14.2,macOS Sonoma,Space Grey,1 TB SSD,8,False,Lithium Polymer (Li-Po),SSD,1024.0,3024,1964,89,12,64,51,13,1
Apple MacBook Air 15 M3,5999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Space Grey,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,89,12,64,51,13,3
HP Pavilion Plus 14-ew1008nx,3799,24.0,Intel Core Ultra 5 125H,14.0,Windows 11 Home,Moonlight Blue,512 GB PCIe Gen 4 NVMe M.2 SSD,16,False,Lithium Ion Polymer (Li-Poly) - 4 Cell,PCIe Gen 4 NVMe M.2 SSD,512.0,2880,1800,25,6,40,50,9,2
Acer Swift Go 14,3029,24.0,Intel Core Ultra 5 125H (Evo),14.0,Windows 11,Silver,512 GB SSD,16,False,Lithium Ion (Li-Ion),SSD,512.0,2880,1800,26,4,58,41,13,0
HP EliteBook 840 G11,6519,24.0,Intel Core Ultra 7 155U,14.0,Windows 11 Pro,Silver,1 TB NVMe PCIe Gen 4×4 SSD,32,False,Lithium Ion Polymer (Li-Poly) - 3 Cell,NVMe PCIe Gen 4×4 SSD,1024.0,1920,1200,31,7,58,49,7,1
Apple MacBook Pro 14 M3 Pro Retina XDR,9499,24.0,M3 Pro 11-core CPU,14.2,macOS Sonoma,Space Black,512 GB SSD,18,False,Lithium Polymer (Li-Po),SSD,512.0,3024,1964,90,12,62,51,13,3
Apple MacBook Pro 14 M2 Pro Retina XDR,8399,24.0,M2 Pro 10-core CPU 16-core Neural Engine,14.2,macOS Ventura,Space Grey,512 GB SSD,16,False,Lithium Ion Polymer (Li-Poly),SSD,512.0,3024,1964,87,13,64,48,13,3
Apple MacBook Air 13 M2 Retina,4499,24.0,M2 8-core CPU 16-core Neural Engine,13.6,macOS Sequoia,Space Grey,256 GB SSD,16,False,Lithium Polymer (Li-Po),SSD,256.0,2560,1664,86,11,64,51,13,3
Huawei MateBook D 16 2024,3499,24.0,Intel Core i5-13420H (13th Gen),16.0,Windows 11,Mystic Silver,1 TB SSD,16,False,Lithium Polymer (Li-Po),SSD,1024.0,1920,1200,56,4,42,51,13,1
Lenovo IdeaPad Slim 3,1499,24.0,Intel Core i3-1305U (13th Gen),14.0,Windows 11,Arctic Grey,256 GB NVMe M.2 SSD,8,False,Lithium Ion (Li-Ion),NVMe M.2 SSD,256.0,1920,1080,38,4,2,41,6,2
Apple MacBook Air 15 M2,5199,24.0,M2 8-core CPU 16-core Neural Engine,15.3,macOS Ventura,Space Grey,256 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,256.0,2880,1864,86,13,64,51,13,3
Asus Zenbook S 14 OLED with Copilot Key,5899,24.0,Intel Core Ultra 7 258V 32 GB,14.0,Windows 11 Home,Zumaia Grey,1 TB M.2 NVMe PCIe 4.0 SSD,32,False,Lithium Ion (Li-Ion) - 4 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,2880,1800,32,6,77,43,4,2
Microsoft Surface  7,6799,24.0,Snapdragon X Elite 12 Core,15.0,Windows 11 Home,Black,512 GB SSD,16,True,Lithium Ion (Li-Ion) - 6 Cell,SSD,512.0,2496,1664,99,6,5,44,13,3
Huawei MateBook 14,3999,24.0,Intel Core i5-1340P (13th Gen),14.0,Windows 11,Space Grey,512 GB,16,True,Lithium Ion Polymer (Li-Poly),,512.0,2160,1440,54,4,64,48,0,2
Apple MacBook Air 15 M3,6999,24.0,M3 8-core CPU,15.3,macOS Sonoma,Starlight,512 GB SSD,8,False,Lithium Polymer (Li-Po),SSD,512.0,2880,1864,89,12,66,51,13,3
Lenovo Yoga Slim 6 OLED,3399,24.0,Intel Core i7-1260P (Evo 12th Gen),14.0,Windows 11,Storm Grey,1 TB PCIe NVMe M.2 SSD,16,False,Lithium Polymer (Li-Po),PCIe NVMe M.2 SSD,1024.0,1920,1200,66,4,70,51,11,1
Apple MacBook Air 13 M3,7099,24.0,M3 8-core CPU,13.6,macOS Sequoia,Midnight,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,2560,1664,89,11,37,51,13,3
Asus Vivobook S 14 OLED,4399,24.0,AMD Ryzen 9-8945HS,14.0,Windows 11 Home,Cool Silver,1 TB M.2 NVMe PCIe 4.0 SSD,32,False,Lithium Ion (Li-Ion) - 4 Cell,M.2 NVMe PCIe 4.0 SSD,1024.0,1920,1200,18,6,8,43,4,2
Apple MacBook Pro 16 M4 Pro Retina XDR,11499,24.0,M4 Pro 14-core CPU,16.0,macOS Sequoia,Silver,512 GB SSD,24,False,Lithium Polymer (Li-Po),SSD,512.0,3456,2234,94,11,58,51,13,3
Acer Aspire 3,1579,24.0,Intel Core i3-N305 (13th Gen),14.0,Windows 11,Silver,256 GB NVMe M.2 SSD,8,False,Lithium Ion (Li-Ion),NVMe M.2 SSD,256.0,1920,1200,42,4,58,41,6,2
HP Pavilion,4299,24.0,Intel Core i7-1360P (13th Gen),15.6,Windows 11,Fog Blue,1 TB PCIe NVMe M.2 SSD,16,False,Lithium Ion (Li-Ion) - 3 Cell,PCIe NVMe M.2 SSD,1024.0,1920,1080,71,4,19,42,11,1
Apple MacBook Pro 14 M2 Pro Retina XDR,10399,24.0,M2 Pro 12-core CPU 16-core Neural Engine,14.2,macOS Ventura,Silver,1 TB SSD,16,False,Lithium Ion Polymer (Li-Poly),SSD,1024.0,3024,1964,88,13,58,48,13,1
Huawei MateBook D 16 2024,4299,24.0,Intel Core i7-13700H (13th Gen),16.0,Windows 11 Home,Mystic Silver,1 TB SSD,16,False,Lithium Polymer (Li-Po),SSD,1024.0,1920,1200,74,6,42,51,13,1
Lenovo IdeaPad Slim 5,4029,24.0,Intel Core Ultra 7 155H,14.0,Windows 11 Home,Cloud Grey,512 GB PCIe Gen 4 NVMe M.2 SSD,16,False,Lithium Ion (Li-Ion),PCIe Gen 4 NVMe M.2 SSD,512.0,1920,1200,29,6,7,41,9,2
MSI Modern 15 H AI,2529,24.0,Intel Core Ultra 5 125H,15.6,Windows 11 Home,Black,512 GB,16,False,Lithium Polymer (Li-Po) - 3 Cell,,512.0,1920,1080,25,6,5,52,0,2
Huawei MateBook D 16 2024,2199,24.0,Intel Core i5-12450H (12th Gen),16.0,Windows 11 Home,Mystic Silver,512 GB PCIe NVMe M.2 SSD,8,False,Lithium Polymer (Li-Po),PCIe NVMe M.2 SSD,512.0,1920,1200,49,6,42,51,11,0
